state,district,transaction_volume,transaction_amount
Karnataka,Chikkaballapur District,50341197,80068304947
Karnataka,Bidar District,59785534,80776104518
Karnataka,Bengaluru Rural District,116146821,1.40428E+11
Karnataka,Raichur District,58011111,78959280621
Karnataka,Dakshina Kannada District,51660908,63988116869
Karnataka,Hassan District,64922108,96932033734
Karnataka,Dharwad District,91471760,1.01219E+11
Karnataka,Shivamogga District,58999966,76223245002
Karnataka,Gadag District,25951596,31702873746
Maharashtra,Jalgaon District,85555252,1.20922E+11
Maharashtra,Latur District,75637799,92305629391
Maharashtra,Nandurbar District,19410052,26176428354
Maharashtra,Chandrapur District,42080334,49872424334
Maharashtra,Solapur District,164430995,2.26538E+11
Maharashtra,Dhule District,40448892,56477818891
Maharashtra,Wardha District,21508966,26749601109
Maharashtra,Parbhani District,41327515,52906178282
Maharashtra,Nanded District,84812032,1.13646E+11
Maharashtra,Nagpur District,171355260,2.0548E+11
Maharashtra,Buldhana District,59818437,77740496846
Maharashtra,Nashik District,228252514,2.93636E+11
Maharashtra,Akola District,38095559,47738130540
Maharashtra,Yavatmal District,45349638,56859282995
Maharashtra,Amravati District,64279621,85683754925
Maharashtra,Jalna District,51613317,70754228943
Madhya Pradesh,Alirajpur District,5538318,6797096282
Madhya Pradesh,Rajgarh District,32379947,43179691478
Madhya Pradesh,Satna District,26076619,31364824507
Madhya Pradesh,Narsinghpur District,18355126,23073507570
Madhya Pradesh,Jabalpur District,56893941,69441494576
Madhya Pradesh,Balaghat District,27147129,32533543560
Madhya Pradesh,Betul District,23920586,30212375206
Madhya Pradesh,Sidhi District,16769986,19509853521
Madhya Pradesh,Dewas District,44048021,55096226836
Madhya Pradesh,Neemuch District,18168011,24226551204
Madhya Pradesh,Mandsaur District,30788948,41145971313
Madhya Pradesh,Barwani District,18026144,22754590452
Madhya Pradesh,Anuppur District,11223597,11913127493
Madhya Pradesh,Agar Malwa District,13716710,17446288050
Madhya Pradesh,Rewa District,33892671,41093208706
Madhya Pradesh,Ujjain District,63706895,79761357653
Madhya Pradesh,Seoni District,21346293,26867968641
Madhya Pradesh,Bhopal District,181813783,1.7788E+11
Madhya Pradesh,Jhabua District,13057147,15560935720
Madhya Pradesh,Dhar District,56512770,64763276403
Madhya Pradesh,Chhindwara District,32159613,39295738177
Madhya Pradesh,Mandla District,11305861,13849166708
Madhya Pradesh,Indore District,264106034,2.77133E+11
Madhya Pradesh,Ratlam District,32990586,45364578179
Odisha,Angul District,41161308,49968489656
Odisha,Sambalpur District,33712360,36123695797
Odisha,Jajpur District,63939600,66396851602
Odisha,Kalahandi District,26649460,28966837403
Odisha,Ganjam District,74444120,1.02967E+11
Odisha,Bargarh District,21450388,27605693934
Odisha,Dhenkanal District,29148154,32247497566
Odisha,Bhadrak District,37183678,42157833986
Odisha,Kendujhar District,42553175,51128257389
Odisha,Mayurbhanj District,29631000,35958277874
Odisha,Jharsuguda District,23640956,25915619954
Odisha,Kandhamal District,9141594,11847320853
Odisha,Sundargarh District,49927848,59344633833
Odisha,Balangir District,27004265,32853488824
Odisha,Puri District,50125369,56358398232
Odisha,Khordha District,241275385,2.36502E+11
Odisha,Gajapati District,9157264,12180935466
Odisha,Nayagarh District,19661505,23409044670
Odisha,Kendrapara District,29639082,33596290948
Odisha,Cuttack District,96971577,1.09562E+11
Punjab,Fazilka District,6702859,11019891129
Punjab,Barnala District,1814295,3221681983
Punjab,Mansa District,1769205,3281217377
Punjab,Ludhiana District,42886520,57812627135
Punjab,Sri Muktsar Sahib District,2763168,5018568431
Punjab,Patiala District,12735792,18858856263
Punjab,Fatehgarh Sahib District,4254451,5499736593
Punjab,Rupnagar District,4056489,5719430131
Punjab,Sas Nagar District,33581261,34532810874
Punjab,Sangrur District,3805580,6858852442
Punjab,Jalandhar District,14880101,21671210961
Punjab,Bathinda District,9137826,13643478428
Punjab,Gurdaspur District,6212890,11758112263
Punjab,Faridkot District,2216669,3881252328
Punjab,Hoshiarpur District,6587313,10763106680
Punjab,Moga District,2908228,5366034418
Rajasthan,Baran District,17808778,23914142123
Rajasthan,Bhilwara District,65786845,91517533985
Rajasthan,Nagaur District,31949808,55060244213
Rajasthan,Rajsamand District,20749530,29663384232
Rajasthan,Bundi District,21745366,27133118892
Rajasthan,Pali District,28090820,39987655922
Rajasthan,Dungarpur District,9466218,12780513180
Rajasthan,Jodhpur District,69133490,95763063449
Rajasthan,Udaipur District,56852827,67449081560
Rajasthan,Chittorgarh District,38669877,53572624031
Rajasthan,Jalore District,13899079,22602302736
Rajasthan,Sirohi District,17418765,24163793659
Rajasthan,Jhalawar District,24623284,33470196401
Rajasthan,Kota District,78652857,91296239141
Tamil Nadu,Tiruchirappalli District,18164926,27692698891
Tamil Nadu,Ramanathapuram District,6479818,10844935366
Tamil Nadu,Krishnagiri District,55835514,77845105518
Tamil Nadu,Cuddalore District,13338588,19217427464
Tamil Nadu,Kancheepuram District,24243664,24760766003
Tamil Nadu,Tiruppur District,51439579,52757665801
Tamil Nadu,Dharmapuri District,22994418,38361998279
Tamil Nadu,Thanjavur District,10362941,16706684114
Tamil Nadu,Madurai District,22928854,37099323538
Tamil Nadu,Tiruvannamalai District,16757481,23895919564
Tamil Nadu,Salem District,35496830,55558357782
Tamil Nadu,Nagapattinam District,2541738,3678676234
Tamil Nadu,Tirupathur District,15938909,22472266039
Tamil Nadu,Ariyalur District,3584718,5434461580
Tamil Nadu,Erode District,19939037,26513794453
Tamil Nadu,Mayiladuthurai District,3545063,5372761836
Tamil Nadu,Karur District,7297523,11065343215
Tamil Nadu,Viluppuram District,10344883,14676073328
Tamil Nadu,Pudukkottai District,6613109,11027691335
Tamil Nadu,Perambalur District,3476716,5438743693
Tamil Nadu,Coimbatore District,65144682,75506314891
Tamil Nadu,Virudhunagar District,9917608,15094605820
Tamil Nadu,Dindigul District,17815170,28077104697
Tamil Nadu,Sivaganga District,6933590,11397286944
Tamil Nadu,Tenkasi District,5959308,9784471540
Tamil Nadu,Thoothukudi District,10386762,14369832646
Tamil Nadu,Chengalpattu District,64707958,70865333696
Tamil Nadu,Kanniyakumari District,11893132,20300739574
Tamil Nadu,Tirunelveli District,11796722,16884362356
Tamil Nadu,Theni District,9548264,16118572688
Tamil Nadu,Ranipet District,10644664,14975270858
Tamil Nadu,Namakkal District,14364096,22565497455
Tamil Nadu,Kallakurichi District,9981356,15051182741
Tamil Nadu,Vellore District,19721312,27637068642
Puducherry,Karaikal District,1407218,1860437399
Puducherry,Karaikal District,1407218,1860437399
Puducherry,Puducherry District,12635394,14799332430
Puducherry,Puducherry District,12635394,14799332430
Puducherry,Yanam District,2022624,2687007033
Puducherry,Mahe District,494441,618615685
Telangana,Narayanpet District,13510980,23531055343
Telangana,Nalgonda District,72893381,1.2185E+11
Telangana,Bhadradri Kothagudem District,50104781,72737068188
Telangana,Nagarkurnool District,27467424,45688151444
Telangana,Wanaparthy District,19386733,31083011298
Telangana,Vikarabad District,28778897,40922915977
Telangana,Suryapet District,43825517,73023158623
Telangana,Jogulamba Gadwal District,17557180,27827262168
Telangana,Peddapalli District,38620718,57707768791
Telangana,Karimnagar District,60783326,95891241089
Telangana,Siddipet District,50636790,84000345164
Telangana,Mahabubnagar District,44321546,65614913433
Telangana,Khammam District,65955133,1.00475E+11
Uttar Pradesh,Siddharthnagar District,21402035,30711632224
Uttar Pradesh,Aligarh District,56824197,72766516854
Uttar Pradesh,Hathras District,17864306,24520017087
Uttar Pradesh,Budaun District,21190757,29720480286
Uttar Pradesh,Kushinagar District,40102115,53808437736
Uttar Pradesh,Shahjahanpur District,17946664,26933206245
Uttar Pradesh,Ambedkar Nagar District,18630542,25105195457
Uttar Pradesh,Bahraich District,15531964,22661379612
Uttar Pradesh,Ballia District,37243421,48849333877
Uttar Pradesh,Varanasi District,64105707,85972676969
Uttar Pradesh,Basti District,23518450,32786519379
Uttar Pradesh,Hardoi District,17519985,25427137718
Uttar Pradesh,Kanpur Dehat District,13367215,19932920532
